Date,Open,High,Low,Close,Adj Close,Volume
10/10/2014,192.690002,193.649994,190.490005,190.539993,172.562653,221909000
10/13/2014,190.460007,191.149994,187.300003,187.410004,169.727951,230939000
10/14/2014,188.419998,189.820007,187.039993,187.699997,169.990616,215847000
10/15/2014,185.160004,187.690002,181.919998,186.429993,168.840393,380715000
10/16/2014,183.059998,187.580002,182.889999,186.270004,168.695465,270391000
10/17/2014,188.419998,189.75,187.619995,188.470001,170.687927,214625000
10/20/2014,188.130005,190.449997,188.070007,190.300003,172.345306,130011000
10/21/2014,191.679993,194.199997,191.479996,194.070007,175.759613,154949000
10/22/2014,194.410004,194.910004,192.610001,192.690002,174.509796,151822000
10/23/2014,194.619995,196.199997,194.259995,194.929993,176.538437,154944000
10/24/2014,195.25,196.490005,194.490005,196.429993,177.896881,117927000
10/27/2014,195.729996,196.449997,195.029999,196.160004,177.65242,82954000
10/28/2014,196.820007,198.419998,196.729996,198.410004,179.690063,106736000
10/29/2014,198.550003,199.119995,196.800003,198.110001,179.418381,142557000
10/30/2014,197.580002,199.949997,197.399994,199.380005,180.568573,113330000
10/31/2014,201.779999,201.820007,200.770004,201.660004,182.633469,146903000
11/3/2014,201.919998,202.449997,201.309998,201.770004,182.733078,93600000
11/4/2014,201.229996,201.600006,200.059998,201.070007,182.099121,93343000
11/5/2014,202.539993,202.589996,201.449997,202.339996,183.249313,91709000
11/6/2014,202.389999,203.259995,201.639999,203.149994,183.982849,107089000
11/7/2014,203.169998,203.600006,202.610001,203.339996,184.154938,89540000
11/10/2014,203.380005,204.039993,203.130005,203.979996,184.734589,66319000
11/11/2014,204.059998,204.309998,203.649994,204.179993,184.91571,54499400
11/12/2014,203.350006,204.240005,203.309998,203.960007,184.716492,90120300
11/13/2014,204.160004,204.830002,203.210007,204.190002,184.924774,85357900
11/14/2014,204.100006,204.490005,203.720001,204.240005,184.970062,80417500
11/17/2014,203.850006,204.580002,203.649994,204.369995,185.087784,80441000
11/18/2014,204.440002,205.919998,204.440002,205.550003,186.156464,76068100
11/19/2014,205.309998,205.550003,204.300003,205.220001,185.85762,82373000
11/20/2014,204.259995,205.710007,204.179993,205.580002,186.183609,72840300
11/21/2014,207.639999,207.839996,205.979996,206.679993,187.179794,142327300
11/24/2014,207.169998,207.389999,206.910004,207.259995,187.705093,65880800
11/25/2014,207.539993,207.789993,206.800003,207.110001,187.56926,79108300
11/26/2014,207.289993,207.759995,207.029999,207.639999,188.049255,62167800
11/28/2014,207.490005,207.869995,206.910004,207.199997,187.650757,57890100
12/1/2014,206.399994,206.539993,205.380005,205.759995,186.346588,103968400
12/2/2014,205.809998,207.339996,205.779999,207.089996,187.551132,74507200
12/3/2014,207.300003,208.149994,207.100006,207.889999,188.27565,68952000
12/4/2014,207.539993,208.270004,206.699997,207.660004,188.067398,91316600
12/5/2014,207.869995,208.470001,207.550003,208,188.375244,91025500
12/8/2014,207.520004,208.119995,205.929993,206.610001,187.116455,108588200
12/9/2014,204.369995,206.600006,203.910004,206.470001,186.989609,125180100
12/10/2014,205.910004,205.979996,202.929993,203.160004,183.991928,159856400
12/11/2014,203.880005,206.190002,203.710007,204.190002,184.924774,159012800
12/12/2014,202.639999,203.820007,200.850006,200.889999,181.936096,202330200
12/15/2014,201.979996,202.529999,198.779999,199.509995,180.686279,189965800
12/16/2014,198.580002,202.399994,197.860001,197.910004,179.237244,259543800
12/17/2014,198.440002,202.339996,198.289993,201.789993,182.751175,253910100
12/18/2014,204.740005,212.970001,203.919998,206.779999,187.270401,257633900
12/19/2014,206.429993,207.330002,205.610001,206.520004,188.067245,245084600
12/22/2014,206.75,207.470001,206.460007,207.470001,188.932343,148318900
12/23/2014,208.169998,208.229996,207.399994,207.75,189.187317,122167900
12/24/2014,208.020004,208.339996,207.720001,207.770004,189.205536,42963400
12/26/2014,208.309998,208.850006,208.25,208.440002,189.815643,57326700
12/29/2014,208.220001,208.970001,208.139999,208.720001,190.070648,79643900
12/30/2014,208.210007,208.369995,207.509995,207.600006,189.050735,73540800
12/31/2014,207.990005,208.190002,205.389999,205.539993,187.174774,130333800
1/2/2015,206.380005,206.880005,204.179993,205.429993,187.074585,121465900
1/5/2015,204.169998,204.369995,201.350006,201.720001,183.696091,169632600
1/6/2015,202.089996,202.720001,198.860001,199.820007,181.965881,209151400
1/7/2015,201.419998,202.720001,200.880005,202.309998,184.233383,125346700
1/8/2015,204.009995,206.160004,203.990005,205.899994,187.502594,147217800
1/9/2015,206.399994,206.419998,203.509995,204.25,186.000031,158567300
1/12/2015,204.410004,204.600006,201.919998,202.649994,184.542984,144396100
1/13/2015,204.119995,205.479996,200.509995,202.080002,184.023926,214553300
1/14/2015,199.649994,201.100006,198.570007,200.860001,182.912933,192991100
1/15/2015,201.630005,202.009995,198.880005,199.020004,181.237366,176613900
1/16/2015,198.770004,201.820007,198.550003,201.630005,183.614136,211879600
1/20/2015,202.399994,202.720001,200.169998,202.059998,184.005707,130991100
1/21/2015,201.5,203.660004,200.940002,203.080002,184.934586,122942700
1/22/2015,203.990005,206.259995,202.330002,206.100006,187.684738,174356000
1/23/2015,205.789993,206.100006,204.809998,204.970001,186.655716,117516800
1/26/2015,204.710007,205.559998,203.850006,205.449997,187.092819,92009700
1/27/2015,202.970001,204.119995,201.740005,202.740005,184.624954,134044600
1/28/2015,204.169998,204.289993,199.910004,200.139999,182.257278,168514300
1/29/2015,200.380005,202.300003,198.679993,201.990005,183.941971,173585400
1/30/2015,200.570007,202.169998,199.130005,199.449997,181.628922,197729700
2/2/2015,200.050003,202.029999,197.860001,201.919998,183.878235,163107000
2/3/2015,203,204.850006,202.550003,204.839996,186.537308,124212900
2/4/2015,203.919998,205.380005,203.509995,204.059998,185.826996,134306700
2/5/2015,204.860001,206.300003,204.770004,206.119995,187.702942,97953200
2/6/2015,206.559998,207.240005,204.919998,205.550003,187.183899,125672000
2/9/2015,204.770004,205.639999,204.139999,204.630005,186.346085,87219000
2/10/2015,205.880005,207.119995,204.679993,206.809998,188.331284,96164200
2/11/2015,206.610001,207.449997,205.830002,206.929993,188.440582,91087800
2/12/2015,207.889999,208.990005,206.970001,208.919998,190.252731,97545900
2/13/2015,209.070007,209.839996,208.759995,209.779999,191.035934,93670400
2/17/2015,209.399994,210.320007,209.100006,210.110001,191.336426,76968200
2/18/2015,209.660004,210.220001,209.339996,210.130005,191.35463,80652900
2/19/2015,209.410004,210.419998,209.240005,209.979996,191.218048,91462500
2/20/2015,209.479996,211.330002,208.729996,211.240005,192.365463,140896400
2/23/2015,210.940002,211.210007,210.479996,211.210007,192.338181,74411100
2/24/2015,211.119995,212.050003,210.759995,211.809998,192.884521,72472300
2/25/2015,211.660004,212.240005,211.220001,211.630005,192.720612,73061700
2/26/2015,211.520004,211.710007,210.649994,211.380005,192.49295,72697900
2/27/2015,211.259995,211.580002,210.600006,210.660004,191.837326,108076000
3/2/2015,210.779999,212.059998,210.720001,211.990005,193.048492,87491400
3/3/2015,211.470001,212.050003,210.080002,211.119995,192.256165,110325800
3/4/2015,210.399994,210.490005,209.059998,210.229996,191.445709,114497200
3/5/2015,210.619995,210.800003,209.850006,210.460007,191.655167,76873000
3/6/2015,209.419998,209.940002,207.100006,207.5,188.959641,188128000
3/9/2015,207.740005,208.789993,207.550003,208.360001,189.742783,89818900
